,,P03,Hala Supply Chain Services Co. Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manament Accounts YTD P03 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Profit and Loss, ,YTD P03 2026 Actual,,,,,,,,,,,,,,2026 Budget,,,,,,,,,,,,,,Prior Year 2025,,,,,,,,,,,,,,
Codes,Legacy,,Description, ,P1 Act,P2 Act,P3 Act,P4 Act,P5 Act,P6 Act,P7 Act,P8 Act,P9 Act,P10 Act,P11 Act,P12 Act,Total,,P1 Bud,P2 Bud,P3 Bud,P4 Bud,P5 Bud,P6 Bud,P7 Bud,P8 Bud,P9 Bud,P10 Bud,P11 Bud,P12 Bud,Total,,P1 Act,P2 Act,P3 Act,P4 Act,P5 Act,P6 Act,P7 Act,P8 Act,P9 Act,P10 Act,P11 Act,P12 Act,"Total
FINAL",,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401120,30001120,,Net Revenue - Warehousing, ,"8,115,849","7,432,398","7,272,375",0,0,0,0,0,0,0,0,0,"22,820,622",,"7,804,324","7,991,024","8,136,274","8,557,831","8,554,331","8,719,831","9,239,831","9,133,831","9,193,421","9,466,824","9,544,824","9,634,824","23,931,623",,"9,364,270","8,689,155","9,094,383","8,471,039","8,210,998","7,339,041","7,190,251","8,103,030","8,432,174","8,290,425","8,434,870","8,242,874","99,862,511",,
,,,WH Revenue Growth%,,-13.3%,-14.5%,-20.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-15.9%,,-16.7%,-8.0%,-10.5%,1.0%,4.2%,18.8%,28.5%,12.7%,9.0%,14.2%,13.2%,16.9%,-11.8%,,20.6%,30.1%,28.2%,15.5%,-27.3%,-2.2%,-10.0%,-16.5%,-2.1%,-4.3%,2.8%,10.4%,1.6%,,
,,,Existing Business, ,"8,009,134","7,324,389","7,160,659",,,,,,,,,,"22,494,183",,"7,804,324","7,991,024","8,136,274","8,557,831","8,554,331","8,719,831","9,239,831","9,133,831","9,193,421","9,466,824","9,544,824","9,634,824","23,931,623",,"8,153,315","8,003,441","8,312,700","7,672,805","7,193,032","6,411,047","6,130,397","6,472,211","7,003,891","6,655,956","6,545,772","6,613,086","85,167,655",,
,,,New Business, ,"106,715","108,009","111,716",,,,,,,,,,"326,440",,,,,,,,,,,,,,0,,"1,210,954","685,714","781,683","798,234","1,017,966","927,994","1,059,854","1,630,819","1,428,283","1,634,469","1,889,098","1,629,788","14,694,856",,
401110,30001110,,Revenue - Transportation, ,"380,946","263,170","310,382",0,0,0,0,0,0,0,0,0,"954,498",,"444,000","444,000","494,000","539,000","539,000","564,000","794,000","794,000","794,000","914,000","934,000","934,000","1,382,000",,"945,600","760,708","996,520","824,860","472,034","468,226","448,029","340,578","375,259","485,117","248,609","385,293","6,750,832",,
,,,TPT Revenue Growth%,,-59.7%,-65.4%,-68.9%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-64.7%,,-53.0%,-41.6%,-50.4%,-34.7%,14.2%,20.5%,77.2%,133.1%,111.6%,88.4%,275.7%,142.4%,-48.9%,,-24.2%,-39.7%,-11.6%,-29.4%,-63.5%,-59.7%,-63.5%,-78.2%,-63.2%,-68.9%,-79.3%,-71.2%,-55.5%,,
,,,Existing Business, ,"380,946","263,170","310,382",,,,,,,,,,"954,498",,"444,000","444,000","494,000","539,000","539,000","564,000","794,000","794,000","794,000","914,000","934,000","934,000","1,382,000",,"927,060","735,708","967,200","704,640","398,998","418,062","423,279","87,911","124,660","230,729","104,790","173,792","5,296,829",,
,,,New Business, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,"18,540","25,000","29,320","120,220","73,036","50,164","24,750","252,667","250,599","254,388","143,819","211,501","1,454,004",,
,,,Total Net Revenue, ,"8,496,796","7,695,568","7,582,758",0,0,0,0,0,0,0,0,0,"23,775,121",,"8,248,324","8,435,024","8,630,274","9,096,831","9,093,331","9,283,831","10,033,831","9,927,831","9,987,421","10,380,824","10,478,824","10,568,824","25,313,623",,"10,309,869","9,449,863","10,090,903","9,295,900","8,683,032","7,807,267","7,638,281","8,443,608","8,807,433","8,775,542","8,683,479","8,628,167","106,613,343",,
,,,Net Revenue Growth%,,3.0%,-8.8%,-12.1%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-6.1%,,-20.0%,-10.7%,-14.5%,-2.1%,4.7%,18.9%,31.4%,17.6%,13.4%,18.3%,20.7%,22.5%,-76.3%,,14.4%,19.0%,22.7%,9.3%,-31.1%,-9.9%,-17.2%,-25.0%,-8.5%,-14.2%,-7.7%,-2.0%,-6.1%,,
500210,51002840,,COR - Warehouse Rent WH, ,"(2,865,994)","(2,865,994)","(2,865,994)",,,,,,,,,,"(8,597,983)",,"(2,992,278)","(2,992,278)","(2,992,278)","(3,006,528)","(3,006,528)","(3,006,528)","(3,006,528)","(3,006,528)","(3,006,528)","(3,035,028)","(3,035,028)","(3,035,028)","(8,976,833)",,"(2,365,558)","(2,597,849)","(2,691,053)","(2,497,358)","(2,497,358)","(2,497,358)","(2,357,034)","(2,357,216)","(2,413,085)","(2,402,252)","(2,402,252)","(2,082,798)","(29,161,172)",,
500220,40000120,,COR - Outsourced Labour WH, ,"(36,016)","(34,129)","(30,408)",,,,,,,,,,"(100,553)",,"(28,458)","(28,458)","(28,458)","(28,458)","(28,458)","(28,458)","(28,458)","(28,458)","(28,458)","(28,458)","(28,458)","(28,458)","(85,374)",,"(15,447)","(15,453)",(403),,,"(33,488)","(71,008)","(37,936)","(22,208)","(28,988)","(19,896)","(31,377)","(276,204)",,
500230,40000120,,COR - Temporary Warehouse WH, ,"(51,768)","(42,225)","(34,940)",,,,,,,,,,"(128,933)",,"(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(6,000)",,"(435,294)","(371,338)","(462,632)","(435,328)","(468,502)","(468,586)","(460,481)","(383,389)","(187,404)","(59,367)","(43,339)","(41,493)","(3,817,152)",,
500240,40000120,,COR - Maintenance WH, ,"(145,483)","104,809","(18,737)",,,,,,,,,,"(59,411)",,"(41,500)","(41,500)","(41,500)","(41,500)","(41,500)","(41,500)","(37,000)","(37,000)","(37,000)","(37,000)","(37,000)","(37,000)","(124,500)",,,,"(26,000)","(63,800)","(57,800)","(56,850)","(19,050)","(70,442)","(98,799)","(126,762)","(41,387)","(18,587)","(579,477)",,
500250,40000120,,COR - Security Guards WH, ,"(78,000)","(78,000)","(78,000)",,,,,,,,,,"(234,000)",,"(66,750)","(66,750)","(66,750)","(66,750)","(66,750)","(66,750)","(66,750)","(66,750)","(66,750)","(66,750)","(66,750)","(66,750)","(200,250)",,"(125,500)","(105,457)","(66,714)","(74,000)","(74,000)","(62,000)","(62,000)","(61,600)","(62,000)","(62,000)","(74,000)","(78,000)","(907,271)",,
,,,COR - Insurance PAR WH,,"(12,099)","(12,099)","(12,099)",,,,,,,,,,"(36,297)",,"(11,593)","(11,593)","(11,593)","(11,593)","(11,593)","(11,593)","(11,593)","(11,593)","(11,593)","(11,593)","(11,593)","(11,593)","(34,779)",,"(15,433)","(55,433)","(15,433)","(15,433)","(15,433)","(15,433)","(10,585)","(10,585)","(10,585)","(12,099)","(12,099)","120,761","(67,791)",,
500260,40000120,,COR - Project Cost WH, ,"(72,813)","(72,813)","(72,813)",,,,,,,,,,"(218,438)",,"(72,813)","(72,813)","(87,813)","(72,813)","(72,813)","(87,813)","(72,813)","(72,813)","(87,813)","(72,813)","(72,813)","(72,813)","(233,438)",,,,,,,,"(149,188)","(65,313)","(71,313)","(97,813)","(88,713)","(282,937)","(755,275)",,
500270,40000120,,COR - Other Direct Cost WH, ,"(75,935)","(76,150)","(76,150)",,,,,,,,,,"(228,235)",,"(76,083)","(76,083)","(76,083)","(76,083)","(76,083)","(76,083)","(70,083)","(70,083)","(70,083)","(70,083)","(70,083)","(70,083)","(228,250)",,"(600,576)","(71,423)","(172,000)","(442,443)","(274,000)","(82,711)","(74,000)","(604,895)","(116,562)","(136,490)","(101,077)","(196,568)","(2,872,745)",,
500280,51002820,,COR - Accommodation rent WH, ,"(78,199)","(75,199)","(76,867)",,,,,,,,,,"(230,264)",,"(114,622)","(114,622)","(114,622)","(114,622)","(114,622)","(114,622)","(108,222)","(108,222)","(108,222)","(108,222)","(108,222)","(108,222)","(343,865)",,"(88,157)","(72,946)","(74,544)","(79,336)","(84,510)","(83,752)","(70,486)","(93,586)","(75,761)","(78,761)","(100,361)","(85,828)","(988,027)",,
,,,Cost of Revenue - WH, ,"(3,416,307)","(3,151,800)","(3,266,008)",0,0,0,0,0,0,0,0,0,"(9,834,114)",,"(3,406,096)","(3,406,096)","(3,421,096)","(3,420,346)","(3,420,346)","(3,435,346)","(3,403,446)","(3,403,446)","(3,418,446)","(3,431,946)","(3,431,946)","(3,431,946)","(10,233,288)",,"(3,645,964)","(3,289,899)","(3,508,780)","(3,607,698)","(3,471,604)","(3,300,178)","(3,273,831)","(3,684,961)","(3,057,717)","(3,004,532)","(2,883,124)","(2,696,826)","(39,425,114)",,
500110,40000120,,COR - 4PL Transporters TPT, ,"(202,470)","(177,230)","(200,460)",,,,,,,,,,"(580,160)",,"(328,560)","(328,560)","(365,560)","(398,860)","(398,860)","(417,360)","(587,560)","(587,560)","(587,560)","(676,360)","(691,160)","(691,160)","(1,022,680)",,"(140,000)","69,479","(147,618)","(111,243)","(103,711)","(56,200)","(248,377)","(156,546)","(307,202)","(214,680)","(177,345)","(188,311)","(1,781,753)",,
500120,40000120,,COR - Fleet Lease Rental TPT, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,"(122,000)","(122,000)","(122,000)","(122,000)","(122,000)","(122,000)","(122,000)","(122,000)","(122,000)","(122,000)","(81,333)",,"(1,301,333)",,
500130,40000120,,COR - Outsourced Labour TPT, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,"(9,501)",,,,,,,,,,,,"(9,501)",,
500140,40000120,,COR - Maintenance TPT, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,
500150,40000120,,COR - Insurance GIT TPT, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,
500160,40000120,,COR - Other Direct Cost TPT, ,"(24,902)",,,,,,,,,,,,"(24,902)",,,,,,,,,,,,,,0,,,,,,,,,"(96,644)",,"(52,745)",,"(29,002)","(178,391)",,
500170,51002820,,COR - Accommodation rent TPT, ,"(6,609)","(6,609)","(3,395)",,,,,,,,,,"(16,614)",,"(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(7,500)",,"(19,877)","(19,877)","(22,647)","(22,647)","(22,647)","(16,858)","(16,858)","(16,858)","(14,111)","(14,111)","(14,111)","(7,472)","(208,073)",,
,,,Cost of Revenue - TPT, ,"(233,982)","(183,839)","(203,855)",0,0,0,0,0,0,0,0,0,"(621,676)",,"(331,060)","(331,060)","(368,060)","(401,360)","(401,360)","(419,860)","(590,060)","(590,060)","(590,060)","(678,860)","(693,660)","(693,660)","(1,030,180)",,"(291,379)","(72,398)","(292,264)","(255,889)","(248,358)","(195,058)","(387,235)","(392,048)","(443,314)","(403,536)","(272,790)","(224,784)","(3,479,051)",,
500310,51002840,,COR - Warehouse Rent RS, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,
500320,40000120,,Net Tejoury revenue - cost, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,
500330,40000120,,COR - Transport RS, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,
500340,40000120,,COR - Maintenance RS, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,
500350,40000120,,COR - Security Guards RS, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,
500360,40000120,,COR - Other Direct Cost RS, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,
500370,51002820,,COR - Accommodation rent RS, ,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,
,,,Cost of Revenue - RS, ,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,Cost of Revenue - Total WH & TPT, ,"(3,650,289)","(3,335,639)","(3,469,863)",0,0,0,0,0,0,0,0,0,"(10,455,790)",,"(3,737,156)","(3,737,156)","(3,789,156)","(3,821,706)","(3,821,706)","(3,855,206)","(3,993,506)","(3,993,506)","(4,008,506)","(4,110,806)","(4,125,606)","(4,125,606)","(11,263,468)",,"(3,937,343)","(3,362,297)","(3,801,044)","(3,863,587)","(3,719,961)","(3,495,236)","(3,661,066)","(4,077,009)","(3,501,030)","(3,408,069)","(3,155,913)","(2,921,610)","(42,904,166)",,
510110,51001110,,Basic Salary WH, ,"(828,900)","(777,968)","(755,768)",,,,,,,,,,"(2,362,636)",,"(808,968)","(808,968)","(808,968)","(808,968)","(808,968)","(808,968)","(808,968)","(808,968)","(808,968)","(808,968)","(808,968)","(808,968)","(2,426,903)",,"(810,079)","(822,325)","(843,313)","(826,302)","(762,319)","(770,715)","(804,218)","(800,555)","(794,401)","(789,423)","(858,099)","(768,529)","(9,650,278)",,
510120,51001150,,Housing Allowance WH, ,"(88,931)","(87,365)","(86,451)",,,,,,,,,,"(262,747)",,"(93,202)","(93,202)","(93,202)","(93,202)","(93,202)","(93,202)","(93,202)","(93,202)","(93,202)","(93,202)","(93,202)","(93,202)","(279,606)",,"(105,269)","(107,367)","(108,131)","(107,379)","(101,748)","(101,588)","(106,824)","(99,618)","(99,844)","(99,271)","(98,216)","(90,064)","(1,225,320)",,
510130,51001140,,Transport Allowance WH, ,"(36,672)","(36,646)","(35,193)",,,,,,,,,,"(108,511)",,"(38,941)","(38,941)","(38,941)","(38,941)","(38,941)","(38,941)","(38,941)","(38,941)","(38,941)","(38,941)","(38,941)","(38,941)","(116,823)",,"(43,730)","(46,500)","(46,939)","(45,447)","(43,185)","(43,501)","(45,334)","(43,049)","(42,430)","(42,200)","(41,779)","(37,398)","(521,492)",,
510140,51001130,,Food Allowance WH, ,"(75,200)","(73,600)","(69,600)",,,,,,,,,,"(218,400)",,"(83,100)","(83,100)","(83,100)","(83,100)","(83,100)","(83,100)","(83,100)","(83,100)","(83,100)","(83,100)","(83,100)","(83,100)","(249,300)",,"(58,598)","(58,811)","(58,800)","(55,703)","(70,352)","(70,898)","(74,000)","(79,733)","(79,600)","(79,976)","(74,800)","(72,826)","(834,097)",,
510150,51001120,,Overtime WH, ,"(134,838)","(92,255)","(101,971)",,,,,,,,,,"(329,064)",,"(140,639)","(140,639)","(240,639)","(140,639)","(140,639)","(140,639)","(140,639)","(140,639)","(140,639)","(140,639)","(140,639)","(140,639)","(521,917)",,"(202,362)","(176,066)","(166,400)","(246,630)","(244,254)","(238,375)","(229,097)","(198,016)","(139,635)","(170,630)","(108,587)","(180,165)","(2,300,217)",,
510160,51001160,,Vacation tickets WH, ,"(51,393)","(50,926)","(51,634)",,,,,,,,,,"(153,953)",,"(58,606)","(58,606)","(58,606)","(58,606)","(58,606)","(58,606)","(58,606)","(58,606)","(58,606)","(58,606)","(58,606)","(58,606)","(175,819)",,"(57,916)","(70,551)","(58,324)","(57,958)","(58,508)","(58,468)","(58,234)","(61,868)","(56,418)","(55,151)","(53,568)","(2,294)","(649,257)",,
510170,51001170,,Vacation Pay WH, ,"(71,576)","(71,657)","(72,758)",,,,,,,,,,"(215,990)",,"(83,501)","(83,501)","(83,501)","(83,501)","(83,501)","(83,501)","(83,501)","(83,501)","(83,501)","(83,501)","(83,501)","(83,501)","(250,503)",,"(79,705)","(93,010)","(79,933)","(80,300)","(81,048)","(81,190)","(81,772)","(79,341)","(78,872)","(76,872)","(76,722)","52,429","(836,336)",,
510180,51001180,,GOSI - Social Insurance WH, ,"(31,964)","(32,442)","(34,170)",,,,,,,,,,"(98,576)",,"(36,010)","(36,010)","(36,010)","(36,010)","(36,010)","(36,010)","(36,010)","(36,010)","(36,010)","(36,010)","(36,010)","(36,010)","(108,029)",,"(41,109)","(19,140)","(59,608)","(37,976)","(38,356)","(38,641)","(39,062)","(37,930)","(38,428)","(37,967)","(32,905)","(83,737)","(504,859)",,
510190,51001190,,Medical expenses WH, ,"(73,119)","(71,755)","(72,212)",,,,,,,,,,"(217,086)",,"(65,041)","(65,041)","(65,041)","(65,041)","(65,041)","(65,041)","(65,041)","(65,041)","(65,041)","(65,041)","(65,041)","(65,041)","(195,123)",,"(87,843)","(87,898)","(90,007)","(83,066)","(83,572)","(84,375)","(77,045)","(79,454)","(77,929)","(75,174)","(76,563)","(78,335)","(981,262)",,
510200,51001200,,Bonus & incentives WH, ,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,(250),,,,"(7,000)",,,,,,"(7,250)",,
510210,51001210,,Recruitment expenses WH, ,"(15,204)",,,,,,,,,,,,"(15,204)",,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,"(42,120)",,,,,"(42,120)",,
510220,51001220,,Employees Terminal Benefits WH, ,"(133,323)","(68,882)","(80,262)",,,,,,,,,,"(282,467)",,"(58,521)","(58,521)","(58,521)","(58,521)","(58,521)","(58,521)","(58,521)","(58,521)","(58,521)","(58,521)","(58,521)","(58,521)","(175,564)",,"(60,924)","(70,883)","(117,657)","(73,577)","(111,359)","(66,974)","(71,516)","(82,221)","(68,298)","(75,401)","(70,805)","3,081","(866,534)",,
510230,51001230,,Schooling Fee WH, ,"(7,354)","(7,354)","(7,354)",,,,,,,,,,"(22,063)",,0,0,0,0,0,0,0,0,0,0,0,0,0,,"(8,252)","(4,367)","(8,252)","(8,252)","(8,252)","(8,252)","(8,252)","(6,733)","(5,050)","(1,600)","(6,775)","(6,775)","(80,810)",,
510240,51001240,,Other - Personnel expenses WH, ,(600),(600),"(2,600)",,,,,,,,,,"(3,800)",,"(24,025)","(24,025)","(24,025)","(24,025)","(24,025)","(24,025)","(24,025)","(24,025)","(24,025)","(24,025)","(24,025)","(24,025)","(72,075)",,"(1,250)","(1,550)","(1,250)","(1,350)","(3,467)","(3,200)","(4,900)",(600),"(1,774)",(600),(600),(600),"(21,141)",,
510250,,,Kilometer Allowance WH, ,"(9,068)","(33,818)","(6,438)",,,,,,,,,,"(49,324)",,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"(11,472)",,"(3,487)",,"(12,742)","(3,808)","(4,883)","(4,030)","(9,074)","(1,575)","(51,071)",,
510260,51001260,,Govt fees (Iqama & Visa) WH, ,"(199,450)","(204,785)","(201,175)",,,,,,,,,,"(605,410)",,"(219,183)","(219,183)","(219,183)","(219,183)","(219,183)","(219,183)","(219,183)","(219,183)","(219,183)","(219,183)","(219,183)","(219,183)","(657,550)",,"(220,875)","(224,075)","(220,213)","(222,163)","(218,550)","(217,550)","(218,785)","(214,883)","(214,673)","(221,123)","(204,410)","(205,568)","(2,602,865)",,
510270,51001270,,Salary Deduct for Vacation WH, ,"16,446","8,169","19,627",,,,,,,,,,"44,242",,"3,469","3,469","3,469","16,764","16,764","16,764","138,347","149,641","149,641","149,641","149,641","149,641","10,406",,"20,673","11,616","10,780","12,955","16,423","12,923","19,475","7,219","17,263","24,816","2,156","15,073","171,372",,
,,,Personnel Cost - WH, ,"(1,741,146)","(1,601,884)","(1,557,959)",0,0,0,0,0,0,0,0,0,"(4,900,989)",,"(1,706,268)","(1,706,268)","(1,806,268)","(1,692,973)","(1,692,973)","(1,692,973)","(1,571,391)","(1,560,096)","(1,560,096)","(1,560,096)","(1,560,096)","(1,560,096)","(5,218,805)",,"(1,757,239)","(1,770,928)","(1,859,769)","(1,833,146)","(1,812,034)","(1,770,803)","(1,819,307)","(1,822,710)","(1,684,971)","(1,704,601)","(1,710,746)","(1,457,283)","(21,003,536)",,
510110,51001110,,Basic Salary TPT, ,"(22,754)","(39,093)","(39,093)",,,,,,,,,,"(100,940)",,"(30,946)","(30,946)","(30,946)","(30,946)","(30,946)","(30,946)","(30,946)","(30,946)","(30,946)","(30,946)","(30,946)","(30,946)","(92,838)",,"(108,361)","(98,335)","(122,803)","(91,148)","(94,441)","(86,448)","(84,771)","(76,052)","(75,038)","(66,513)","(71,713)","(59,222)","(1,034,845)",,
510120,51001150,,Housing Allowance TPT, ,"(1,500)","(4,278)","(4,278)",,,,,,,,,,"(10,056)",,"(4,278)","(4,278)","(4,278)","(4,278)","(4,278)","(4,278)","(4,278)","(4,278)","(4,278)","(4,278)","(4,278)","(4,278)","(12,833)",,"(8,218)","(5,829)","(6,884)","(5,829)","(5,829)","(5,829)","(5,829)","(7,051)","(8,701)","(8,701)","(8,701)","(7,410)","(84,811)",,
510130,51001140,,Transport Allowance TPT, ,(600),"(1,711)","(1,711)",,,,,,,,,,"(4,022)",,"(1,711)","(1,711)","(1,711)","(1,711)","(1,711)","(1,711)","(1,711)","(1,711)","(1,711)","(1,711)","(1,711)","(1,711)","(5,133)",,"(3,316)","(2,360)","(2,782)","(2,360)","(2,360)","(2,360)","(2,360)","(2,849)","(3,839)","(3,839)","(3,839)","(3,293)","(35,557)",,
510140,51001130,,Food Allowance TPT, ,"(2,900)","(3,700)","(3,700)",,,,,,,,,,"(10,300)",,"(2,400)","(2,400)","(2,400)","(2,400)","(2,400)","(2,400)","(2,400)","(2,400)","(2,400)","(2,400)","(2,400)","(2,400)","(7,200)",,"(9,800)","(9,900)","(9,700)","(9,665)","(14,200)","(13,042)","(12,435)","(9,200)","(6,557)","(5,700)","(6,100)","(5,700)","(111,999)",,
510150,51001120,,Overtime TPT, ,"(7,658)","(10,512)","(5,594)",,,,,,,,,,"(23,764)",,0,0,0,0,0,0,0,0,0,0,0,0,0,,"(46,597)","(49,277)","(37,310)","(35,008)","(33,520)","(16,185)","(14,936)",(468),"(10,390)","(3,314)","(6,639)","(4,577)","(258,221)",,
510160,51001160,,Vacation tickets TPT, ,"(2,108)","(2,108)","(2,733)",,,,,,,,,,"(6,950)",,"(1,483)","(1,483)","(1,483)","(1,483)","(1,483)","(1,483)","(1,483)","(1,483)","(1,483)","(1,483)","(1,483)","(1,483)","(4,450)",,"(11,875)","(14,142)","(10,533)","(10,067)","(9,333)","(9,333)","(6,842)","(6,608)","(4,508)","(4,508)","(4,367)","53,694","(38,422)",,
